,code,l,L,circuit_type,decoder,noise_model,n_cycles,which_detectors,error_rates,n_errorsamples,n_fail_cutoff,p,n_shots,n_fails,dec_time_per_shot
2735,surface,2,1,standard,pymatching,cli,3,1,logsweep,2000000,1000,1e-05,2000000,0,1.05708687925e-05
2736,surface,2,1,standard,pymatching,cli,3,1,logsweep,2000000,1000,3e-05,2000000,3,1.03746665055e-05
2737,surface,2,1,standard,pymatching,cli,3,1,logsweep,2000000,1000,8e-05,2000000,9,1.0485203799499998e-05
2738,surface,2,1,standard,pymatching,cli,3,1,logsweep,2000000,1000,0.00022,2000000,92,1.0606873181e-05
2739,lcs,2,5,xz_sep_naive,bposd_psl_5_CS_15_0,cli,5,1,logsweep,100000,1000,1e-05,100000,0,0.0013466131731
2740,lcs,2,5,xz_sep_naive,bposd_psl_5_CS_15_0,cli,5,1,logsweep,100000,1000,3e-05,100000,0,0.0042005278838
2741,lcs,2,5,xz_sep_naive,bposd_psl_5_CS_15_0,cli,5,1,logsweep,100000,1000,8e-05,100000,0,0.01110777432695
2742,lcs,2,5,xz_sep_naive,bposd_psl_5_CS_15_0,cli,5,1,logsweep,100000,1000,0.00022,100000,3,0.02913854839253
2743,lcs,2,5,xz_sep_naive,bposd_psl_5_CS_15_0,cli,5,1,logsweep,100000,1000,0.0006,100000,11,0.07627322853743
2744,surface,4,1,standard,pymatching,cli,5,1,logsweep,1000000,1000,1e-05,1000000,0,1.0233750980999998e-05
2745,surface,4,1,standard,pymatching,cli,5,1,logsweep,1000000,1000,3e-05,1000000,0,1.0273016387e-05
2746,surface,4,1,standard,pymatching,cli,5,1,logsweep,1000000,1000,8e-05,1000000,0,1.0339756186e-05
2747,surface,4,1,standard,pymatching,cli,5,1,logsweep,1000000,1000,1e-05,1000000,0,8.989781344999999e-06
2748,surface,4,1,standard,pymatching,cli,5,1,logsweep,1000000,1000,3e-05,1000000,0,9.051957965e-06
2749,surface,4,1,standard,pymatching,cli,5,1,logsweep,1000000,1000,8e-05,1000000,0,8.626146213e-06
2750,surface,4,1,standard,pymatching,cli,5,1,logsweep,1000000,1000,0.00022,1000000,1,8.970244920999999e-06
2751,surface,4,1,standard,pymatching,cli,5,1,logsweep,1000000,1000,0.0006,1000000,12,1.2537242186e-05
2762,lcs,2,5,xz_sep_naive,bposd_psl_5_CS_15_0,cli,5,1,logsweep,10000,1000,1e-05,10000,0,0.0017913549379
2763,lcs,2,5,xz_sep_naive,bposd_psl_5_CS_15_0,cli,5,1,logsweep,10000,1000,3e-05,10000,0,0.0045195932804
2764,lcs,2,5,xz_sep_naive,bposd_psl_5_CS_15_0,cli,5,1,logsweep,10000,1000,8e-05,10000,0,0.0125724278208
2765,lcs,2,5,xz_sep_naive,bposd_psl_5_CS_15_0,cli,5,1,logsweep,10000,1000,0.00022,10000,0,0.0356565000006
2766,lcs,2,5,xz_sep_naive,bposd_psl_5_CS_15_0,cli,5,1,logsweep,10000,1000,0.0006,10000,1,0.0917360223881
2767,lcs,2,5,xz_sep_naive,bposd_psl_5_CS_15_0,cli,5,1,logsweep,10000,1000,1e-05,10000,0,0.0014071936813
